 Element Code, Element
50260,Area
5017,Average area
5018,Average number of parcels per holding
50191,Average persons per holding (hired permanent workers)
50190,Average persons per holding (household members)
50171,Median average area
50181,Median average number of parcels per holding
60850,Number
6201,Percent of total number
62020,Percent of total persons (holders)
62021,Percent of total persons (household members)
6200,Percentage of total area
50170,Pooled average area
50180,Pooled average number of parcels per holding
